academic_year,dept_code,dept_name,module_code,mod_name,mod_full_name,fac_conf,max students,semester,class code,campus code,percentage,expected size,coordinator,coordinator name,Parent Module
2020,N,Computer Science,CC12320,Rhaglennu gan ddefny,Rhaglennu gan ddefnyddio Iaith Gwrthrych-Gyfeiriadol,Y,,2,AB0,AB,100,6,CWL,"Loftus, Chris (Mr)",
2020,N,Computer Science,CHM5720,Internet Technologie,Internet Technologies,Y,,1,AB0,AB,100,4,DAP,"Price, Dave (Mr)",SEM5720
2020,N,Computer Science,CSM2220,Mobile Solutions,Mobile Solutions,Y,,X,AB0,AB,100,1,CWL,"Loftus, Chris (Mr)",
2020,N,Computer Science,CSM6620,App Intel Systems,Applied Intelligent Systems,Y,,N,AB0,AB,100,,ELT7,"Tuci, Elio (Dr)",
2020,N,Computer Science,CS10720,Probs and Solutions,Problems and Solutions,Y,,2,AB0,AB,100,230,THJ10,"Jansen, Thomas (Dr)",
2020,N,Computer Science,CC12020,Cyflwyniad i Raglenn,Cyflwyniad i Raglennu,Y,,1,AB0,AB,100,6,AOS,"Starr, Andy (Dr)",
2020,N,Computer Science,CS24320,App Graph,Applied Graphics,Y,,2,AB0,AB,100,87,ARA11,"Anjos, Antonio (Dr)",
2020,N,Computer Science,CS36110,Machine Learning,Machine Learning,Y,,X,MU0,MU,100,103,NCM,"Mac Parthalain, Neil (Dr)",
2020,N,Computer Science,CSM0120,Prog for Scientists,Programming for Scientists,Y,,1,AB0,AB,100,2,ROB75,"Boyle, Roger (Prof)",
2020,N,Computer Science,CS39820,Technology Ent,Technology Entrepreneurship,Y,,N,AB0,AB,100,25,BPT,"Tiddeman, Bernie (Dr)",
2020,N,Computer Science,PGM2910,Res write prog,Research Writing Programme,Y,,2,AB0,AB,11,38,JPM,"Morgan, John (Mr)",
2020,N,Computer Science,PGM1700,Qual Data C&a,Qualitative Data Collection and Analysis,Y,,1,AB0,AB,30,,MIR24,"Rose, Mitch (Dr)",
2020,N,Computer Science,SEM1020,Advanced Software,Advanced Software Engineering,Y,,2,AB0,AB,100,15,NWH,"Hardy, Nigel (Mr)",
2020,N,Computer Science,CC22120,Cylch Bywyd,Cylch Bywyd Datblygiad Meddalwedd,Y,,2,AB0,AB,100,3,CJP,"Price, Chris (Prof)",CS22120
2020,N,Computer Science,CS25820,Syst + Network Ser,System and Network Services Administration,Y,,1,AB0,AB,100,24,AIS,"Shaw, Angharad (Dr)",
2020,N,Computer Science,CSS0360,Sandwich Year (PG),Sandwich Year (PG),Y,,2,AB0,AB,100,2,EDS,"Sherratt, Edel (Dr)",
2020,N,Computer Science,CSM2120,Object Oriented Prog,The Object Oriented Programming Paradigm,Y,,1,AB0,AB,100,8,PHS,"Shaw, Patricia (Dr)",
2020,N,Computer Science,CS12020,Intro to Programming,Introduction to Programming,Y,,1,AB0,AB,100,261,AOS,"Starr, Andy (Dr)",
2020,N,Computer Science,CS12020,Intro to Programming,Introduction to Programming,Y,,X,MU0,MU,100,261,AOS,"Starr, Andy (Dr)",
2020,N,Computer Science,CS12910,Computational Think,Computational thinking,Y,,1,AB0,AB,100,65,RKJ,"Jensen, Richard (Dr)",
2020,N,Computer Science,CS33020,Syst Eng,Systems Engineering,Y,,1,AB0,AB,100,70,RCS,"Shipman, Richard (Mr)",
2020,N,Computer Science,CS27020,Modelling Persistent,Modelling Persistent Data,Y,,1,AB0,AB,100,175,HMD1,"Dee, Hannah (Dr)",
2020,N,Computer Science,PGM0120,Res Skills & Per Dev,Research Skills and Personal Development (0120),Y,,N,EX2,EX,42.1,10,RRZ,"Zwiggelaar, Reyer (Prof)",
2020,N,Computer Science,PGM2610,Read Write Dev group,Reading and Writing Development Group,Y,,B,EX0,EX,100,15,RRZ,"Zwiggelaar, Reyer (Prof)",
2020,N,Computer Science,CS01010,Spreadsheets for Uni,Spreadsheets for University Students,Y,,1,AB0,AB,100,70,HTP,"Phillips, Heather (Mrs)",
2020,N,Computer Science,PGM3310,Entrepren for Res,Entrepreneurship for Research Students,Y,,2,AB0,AB,100,5,RRZ,"Zwiggelaar, Reyer (Prof)",
2020,N,Computer Science,CS31710,Advanced Algorithms,Advanced Algorithms,Y,,1,AB0,AB,100,30,THJ10,"Jansen, Thomas (Dr)",
2020,N,Computer Science,PGM2610,Read Write Dev group,Reading and Writing Development Group,Y,,B,AB0,AB,100,15,RRZ,"Zwiggelaar, Reyer (Prof)",
2020,N,Computer Science,PGM2600,Read Write Dev group,Reading and Writing Development Group,Y,,N,AB0,AB,100,,RRZ,"Zwiggelaar, Reyer (Prof)",
2020,N,Computer Science,PGM2000,Research Skill IMPAC,"Research Skills in Mathematics, Physics and Computer Science",Y,,1,AB0,AB,100,,HUM2,"Morgan, Huw (Dr)",
2020,N,Computer Science,PGM2110,Stats for science,Statistics for Experimental Scientists,Y,,N,AB0,AB,13,24,DAL38,"Low, Daniel (Dr)",
2020,N,Computer Science,CS22120,Soft Eng,Software Engineering,Y,,X,MU0,MU,100,147,CJP,"Price, Chris (Prof)",
2020,N,Computer Science,SEM5640,Dev Ad Int-Based App,Developing Advanced Internet-Based Applications,Y,,1,AB0,AB,100,9,NST,"Taylor, Neil (Mr)",
2020,N,Computer Science,CSM3120,"Modelling, Managing","Modelling, Managing and Securing Data",Y,,1,AB0,AB,100,10,CUL,"Lu, Chuan (Dr)",
2020,N,Computer Science,CS21120,Program Design,"Program Design, Data Structures and Algorithms",Y,,X,MU0,MU,100,180,CHZ8,"Zarges, Christine (Dr)",
2020,N,Computer Science,CC15020,Offer Datblygu,Offer Datblygu i'r We,Y,,X,AB0,AB,100,2,AIS,"Shaw, Angharad (Dr)",
2020,N,Computer Science,CS39620,Minor Project,Minor Project,Y,,2,AB0,AB,100,5,NST,"Taylor, Neil (Mr)",CS39440
2020,N,Computer Science,CS39440,Major Project,Major Project,Y,,2,AB0,AB,100,129,NST,"Taylor, Neil (Mr)",
2020,N,Computer Science,CS18010,Prof+Pers Developmnt,Professional and Personal Development,Y,,1,AB0,AB,100,227,WAA2,"Aubrey, Wayne (Dr)",
